Исходное слово,Перевод,Количество упоминаний
brancho,brancho,68
мама,Mama,32
и,and,8
в,in,8
не,not,7
это,is,7
ну,well,7
на,Moscow City Committee for State Registration of Real Estate Titles,7
ты,ration,7
я,.,7
как,as,5
да,Yes,5
норма,Norm,5
раз,time,4
потом,then,4
вода,water,4
мы,we're,4
они,Oni,4
очень,very,3
пачка,pack,3
из,of,3
час,Hours,3
спать,sleep,3
у,y,3
с,с,3
но,но,3
а,а,3
фарш,Stuffing,2
спагетти,spaghetti,2
около,approximately,2
весь,весь,2
который,which the,2
часть,Solutions,2
кипеть,boil,2
понять,captain.,2
такой,so,2
тоже,the same,2
сам,self,2
наверное,Robley.,2
по,under,2
иногда,occasionally,2
то,than,2
дедушка,Kinship,2
хватить,enough,2
факт,actual,2
остаться,stay on the runway,2
закинуть,throw,2
дорогой,Expensive,2
проха,prohaha,2
вот,BDT,2
нет,No,2
обычный,standard,2
этот,this...,2
неплохо,it's not bad,2
знать,Aristocracy,1
щеал,slit,1
давно,days ago,1
повар,Chef,1
шеф,chief,1
оказываться,Turn out,1
правильно,right,1
заказать,order,1
последний,last,1
соус,Sauce,1
банк,Bank,1
тот,Thoth,1
свинин,pork,1
говядина,Beef,1
вкусно,"Äà, ìîæíî.",1
чем,.,1
даже,even,1
выглядеть,look,1
сделать,to do,1
болоньеза,bolognese,1
кароч,caroch,1
мультиварка,Slow Cooker,1
налить,to Pour,1
половина,half,1
до,to,1
свободно,Fluently,1
плавать,swim,1
чтобы,to actually,1
щаливать,zhalivat,1
литр,litre,1
слипнуться,слипнуться,1
разогреть,Warm it up?,1
иначе,else ,1
размешать,Stir it up. ,1
отломить,break off,1
примерно,estimation,1
ложка,spoon,1
столовая,cantine ,1
сливочный,cream,1
масло,oil,1
горячий,hot,1
сварить,weld,1
только,only,1
че,th,1
или,or,1
заливать,flood,1
сразу,reveal everything,1
варя,варя,1
какой,which,1
нормально,normal,1
хотеть,want,1
мало,little,1
переодичёска,pereodicheska,1
мешать,irritant.,1
обычно,usually,1
утопить,Drown,1
без,without,1
верхний,upper,1
нажать,Press *,1
мягкий,soft,1
стать,get,1
когда,when,1
минутка,minute,1
через,in,1
ломать,to break,1
поставить,put up,1
готовить,cook,1
спагетта,spaghetti,1
одногруппник,classmate,1
группа,Group,1
серёга,Серёга,1
урод,Freak,1
кто,who,1
симпатяжкий,cute,1
висеть,Hover,1
преподавательский,teaching,1
ахахахахахха,Ah ha ha ha ha ha ha,1
показать,show,1
оргшница,orgshnitsa,1
вредный,harmful,1
также,also,1
принцип,принцип,1
он,??,1
практически,advantage of virtually,1
вообще,at all,1
сегодня,today,1
день,day,1
каждый,each,1
матвей,Matvei...,1
большой,large,1
можно,May I come in? ,1
ничего,Nothing,1
слабо,middle,1
кайф,Feelgood,1
смотреть,look,1
здесь,here,1
закончить,finish,1
идея,Idea,1
должный,Due,1
чутьчуть,a little,1
прийти,come,1
музыка,Music,1
ещё,more,1
ноябрь,Kasım,1
стипух,stypouh,1
дело,matter,1
бывать,to be,1
жить,Ikiru,1
там,there,1
что,what,1
подкидывать,toss,1
год,year,1
фильтровать,filter,1
фотка,Фотка :,1
удалять,Delete,1
быть,be,1
надо,надо,1
говорить,speak,1
про,on,1
ооооочень,ооооочен,1
конечно,sure,1
гиг,Job,1
бы,would,1
хотеться,want to,1
макс,max.,1
свой,its own,1
мочь,might,1
помоему,my,1
тысяча,Thousand,1
более,more than,1
тем,the,1
она,she,1
жук,Beetle,1
прошка,прошка,1
ахахахахаах,hahahahaah,1
согласный,consonant,1
ладный,ok,1
к,к,1
склоняться,to lean,1
